time,gFx,gFy,gFz,TgF
0.585000,0.5835,0.7580,-0.3031,1.003
0.586000,0.5825,0.7582,-0.3033,1.003
0.590000,0.5818,0.7597,-0.3024,1.004
0.591000,0.5810,0.7612,-0.3004,1.004
0.592000,0.5803,0.7622,-0.2985,1.003
0.592000,0.5805,0.7626,-0.2965,1.003
0.596000,0.5815,0.7629,-0.2941,1.003
0.596000,0.5825,0.7634,-0.2916,1.004
0.599000,0.5825,0.7636,-0.2906,1.003
0.599000,0.5818,0.7634,-0.2901,1.003
0.617000,0.5808,0.7631,-0.2901,1.002
0.619000,0.5798,0.7629,-0.2897,1.001
0.619000,0.5788,0.7624,-0.2897,1.000
0.620000,0.5776,0.7622,-0.2899,0.999
0.620000,0.5749,0.7622,-0.2892,0.998
0.620000,0.5720,0.7626,-0.2887,0.996
0.620000,0.5695,0.7639,-0.2889,0.996
0.621000,0.5683,0.7661,-0.2889,0.997
0.621000,0.5681,0.7688,-0.2870,0.998
0.621000,0.5681,0.7710,-0.2843,0.999
0.623000,0.5681,0.7729,-0.2826,1.000
0.624000,0.5690,0.7744,-0.2826,1.002
0.628000,0.5700,0.7756,-0.2821,1.003
0.628000,0.5705,0.7761,-0.2811,1.003
0.631000,0.5712,0.7763,-0.2804,1.004
0.631000,0.5725,0.7761,-0.2809,1.004
0.636000,0.5744,0.7749,-0.2826,1.005
0.636000,0.5759,0.7736,-0.2838,1.005
0.639000,0.5766,0.7727,-0.2840,1.005
0.639000,0.5783,0.7719,-0.2845,1.006
0.644000,0.5805,0.7707,-0.2850,1.006
0.644000,0.5827,0.7700,-0.2860,1.007
0.647000,0.5842,0.7695,-0.2865,1.008
0.647000,0.5854,0.7692,-0.2877,1.009
0.652000,0.5859,0.7692,-0.2887,1.009
0.653000,0.5859,0.7695,-0.2897,1.010
0.655000,0.5859,0.7702,-0.2906,1.010
0.655000,0.5857,0.7702,-0.2914,1.011
0.659000,0.5859,0.7700,-0.2921,1.011
0.659000,0.5866,0.7702,-0.2933,1.012
0.662000,0.5866,0.7710,-0.2948,1.013
0.662000,0.5869,0.7714,-0.2960,1.014
0.667000,0.5876,0.7717,-0.2967,1.014
0.668000,0.5888,0.7717,-0.2963,1.015
0.671000,0.5898,0.7717,-0.2958,1.015
0.671000,0.5896,0.7717,-0.2955,1.015
0.676000,0.5891,0.7714,-0.2965,1.015
0.677000,0.5891,0.7717,-0.2975,1.015
0.679000,0.5891,0.7722,-0.2982,1.016
0.679000,0.5886,0.7727,-0.2989,1.016
0.684000,0.5874,0.7732,-0.2994,1.016
0.685000,0.5859,0.7732,-0.2994,1.015
0.687000,0.5840,0.7729,-0.2987,1.014
0.687000,0.5827,0.7727,-0.2980,1.013
0.691000,0.5825,0.7727,-0.2975,1.012
0.692000,0.5815,0.7719,-0.2967,1.011
0.696000,0.5805,0.7712,-0.2963,1.010
0.696000,0.5800,0.7702,-0.2960,1.009
0.698000,0.5800,0.7692,-0.2963,1.008
0.705000,0.5796,0.7683,-0.2967,1.007
0.706000,0.5786,0.7675,-0.2972,1.006
0.706000,0.5788,0.7668,-0.2977,1.006
0.709000,0.5796,0.7663,-0.2989,1.006
0.709000,0.5803,0.7656,-0.2997,1.006
0.712000,0.5813,0.7646,-0.3007,1.006
0.712000,0.5822,0.7636,-0.3014,1.006
0.715000,0.5825,0.7629,-0.3014,1.006
0.716000,0.5818,0.7626,-0.3019,1.006
0.720000,0.5820,0.7619,-0.3033,1.006
0.721000,0.5825,0.7617,-0.3051,1.006
0.723000,0.5825,0.7617,-0.3063,1.007
0.724000,0.5822,0.7617,-0.3073,1.007
0.727000,0.5830,0.7614,-0.3080,1.007
0.728000,0.5840,0.7614,-0.3080,1.008
0.731000,0.5844,0.7614,-0.3080,1.008
0.731000,0.5847,0.7617,-0.3082,1.008
0.736000,0.5844,0.7612,-0.3095,1.008
0.737000,0.5840,0.7602,-0.3107,1.008
0.738000,0.5840,0.7592,-0.3109,1.007
0.739000,0.5840,0.7595,-0.3107,1.007
0.743000,0.5832,0.7602,-0.3114,1.007
0.744000,0.5820,0.7612,-0.3121,1.008
0.747000,0.5813,0.7617,-0.3117,1.008
0.748000,0.5808,0.7622,-0.3114,1.008
0.751000,0.5810,0.7624,-0.3117,1.008
0.752000,0.5815,0.7626,-0.3112,1.008
0.755000,0.5827,0.7634,-0.3109,1.009
0.756000,0.5842,0.7646,-0.3117,1.011
0.760000,0.5847,0.7653,-0.3121,1.012
0.761000,0.5840,0.7651,-0.3119,1.012
0.763000,0.5830,0.7651,-0.3117,1.011
0.764000,0.5822,0.7651,-0.3124,1.011
0.768000,0.5825,0.7651,-0.3129,1.011
0.770000,0.5830,0.7651,-0.3134,1.012
0.771000,0.5827,0.7646,-0.3136,1.011
0.772000,0.5818,0.7646,-0.3143,1.011
0.776000,0.5822,0.7644,-0.3151,1.011
0.776000,0.5842,0.7646,-0.3151,1.013
0.779000,0.5857,0.7653,-0.3146,1.014
0.779000,0.5866,0.7658,-0.3146,1.015
0.786000,0.5871,0.7651,-0.3146,1.014
0.787000,0.5871,0.7644,-0.3146,1.014
0.788000,0.5869,0.7646,-0.3139,1.014
0.789000,0.5862,0.7646,-0.3129,1.013
0.793000,0.5849,0.7644,-0.3131,1.012
0.794000,0.5840,0.7634,-0.3134,1.011
0.796000,0.5844,0.7634,-0.3134,1.011
0.796000,0.5852,0.7646,-0.3126,1.012
0.809000,0.5854,0.7656,-0.3121,1.013
0.811000,0.5847,0.7656,-0.3121,1.013
0.812000,0.5835,0.7651,-0.3124,1.012
0.812000,0.5830,0.7651,-0.3121,1.011
0.812000,0.5830,0.7651,-0.3109,1.011
0.813000,0.5825,0.7646,-0.3095,1.010
0.813000,0.5820,0.7646,-0.3082,1.009
0.814000,0.5822,0.7651,-0.3075,1.009
0.815000,0.5827,0.7656,-0.3070,1.010
0.830000,0.5827,0.7661,-0.3068,1.010
0.832000,0.5825,0.7656,-0.3068,1.010
0.832000,0.5822,0.7646,-0.3068,1.009
0.833000,0.5827,0.7636,-0.3063,1.008
0.833000,0.5830,0.7631,-0.3060,1.008
0.833000,0.5825,0.7622,-0.3053,1.007
0.834000,0.5813,0.7617,-0.3043,1.005
0.834000,0.5805,0.7614,-0.3041,1.005
0.834000,0.5805,0.7614,-0.3043,1.005
0.835000,0.5810,0.7617,-0.3043,1.005
0.836000,0.5810,0.7617,-0.3038,1.005
0.840000,0.5808,0.7612,-0.3031,1.004
0.840000,0.5800,0.7609,-0.3016,1.003
0.843000,0.5788,0.7614,-0.3009,1.003
0.844000,0.5783,0.7617,-0.3011,1.003
0.846000,0.5788,0.7614,-0.3019,1.003
0.847000,0.5796,0.7617,-0.3024,1.004
0.853000,0.5796,0.7622,-0.3026,1.004
0.854000,0.5798,0.7624,-0.3024,1.004
0.855000,0.5813,0.7624,-0.3016,1.005
0.855000,0.5830,0.7622,-0.3007,1.006
0.860000,0.5842,0.7617,-0.3002,1.006
0.861000,0.5847,0.7617,-0.2997,1.006
0.863000,0.5852,0.7619,-0.2992,1.006
0.863000,0.5862,0.7617,-0.2987,1.006
0.869000,0.5871,0.7609,-0.2992,1.007
0.870000,0.5869,0.7609,-0.2999,1.007
0.871000,0.5859,0.7617,-0.3011,1.007
0.871000,0.5849,0.7626,-0.3026,1.008
0.876000,0.5849,0.7639,-0.3038,1.009
0.876000,0.5852,0.7644,-0.3048,1.010
0.880000,0.5849,0.7646,-0.3048,1.010
0.880000,0.5852,0.7646,-0.3046,1.010
0.885000,0.5864,0.7646,-0.3046,1.011
0.886000,0.5874,0.7651,-0.3051,1.012
0.888000,0.5886,0.7663,-0.3055,1.013
0.888000,0.5898,0.7663,-0.3060,1.014
0.892000,0.5903,0.7656,-0.3058,1.014
0.893000,0.5893,0.7646,-0.3053,1.012
0.896000,0.5884,0.7644,-0.3053,1.012
0.897000,0.5881,0.7646,-0.3053,1.012
0.898000,0.5891,0.7653,-0.3048,1.013
0.907000,0.5898,0.7653,-0.3051,1.013
0.908000,0.5901,0.7651,-0.3053,1.013
0.908000,0.5901,0.7651,-0.3053,1.013
0.909000,0.5893,0.7656,-0.3051,1.013
0.909000,0.5881,0.7658,-0.3046,1.012
0.912000,0.5874,0.7658,-0.3043,1.012
0.913000,0.5871,0.7663,-0.3046,1.012
0.915000,0.5869,0.7670,-0.3046,1.013
0.916000,0.5871,0.7673,-0.3043,1.013
0.921000,0.5874,0.7673,-0.3046,1.013
0.922000,0.5864,0.7673,-0.3051,1.013
0.923000,0.5857,0.7670,-0.3053,1.012
0.924000,0.5849,0.7663,-0.3053,1.011
0.928000,0.5840,0.7651,-0.3055,1.010
0.928000,0.5837,0.7646,-0.3051,1.009
0.931000,0.5847,0.7653,-0.3041,1.010
0.931000,0.5859,0.7658,-0.3026,1.011
0.935000,0.5869,0.7639,-0.3014,1.009
0.936000,0.5862,0.7624,-0.3011,1.008
0.939000,0.5842,0.7624,-0.3021,1.007
0.940000,0.5825,0.7634,-0.3038,1.007
0.943000,0.5827,0.7634,-0.3048,1.008
0.944000,0.5847,0.7629,-0.3051,1.008
0.947000,0.5874,0.7617,-0.3046,1.009
0.947000,0.5906,0.7609,-0.3029,1.010
0.951000,0.5930,0.7609,-0.2997,1.010
0.952000,0.5937,0.7614,-0.2972,1.010
0.956000,0.5920,0.7614,-0.2963,1.009
0.956000,0.5893,0.7609,-0.2963,1.007
0.960000,0.5874,0.7607,-0.2965,1.006
0.960000,0.5862,0.7602,-0.2963,1.005
0.963000,0.5849,0.7595,-0.2965,1.003
0.964000,0.5842,0.7595,-0.2972,1.003
0.968000,0.5840,0.7600,-0.2977,1.004
0.969000,0.5840,0.7607,-0.2972,1.004
0.971000,0.5832,0.7614,-0.2958,1.004
0.972000,0.5820,0.7622,-0.2943,1.003
0.976000,0.5810,0.7629,-0.2941,1.003
0.976000,0.5808,0.7626,-0.2943,1.003
0.979000,0.5818,0.7629,-0.2948,1.004
0.980000,0.5830,0.7631,-0.2963,1.005
0.985000,0.5830,0.7634,-0.2980,1.006
0.985000,0.5820,0.7636,-0.2992,1.006
0.987000,0.5818,0.7639,-0.2997,1.006
0.988000,0.5820,0.7644,-0.2997,1.006
0.992000,0.5825,0.7651,-0.2992,1.007
0.992000,0.5830,0.7656,-0.2989,1.008
0.995000,0.5830,0.7656,-0.2985,1.007
0.995000,0.5830,0.7658,-0.2975,1.007
1.004000,0.5840,0.7663,-0.2972,1.008
1.005000,0.5854,0.7663,-0.2982,1.009
1.006000,0.5866,0.7668,-0.2992,1.011
1.013000,0.5866,0.7668,-0.2992,1.011
1.013000,0.5864,0.7670,-0.2985,1.011
1.014000,0.5864,0.7670,-0.2985,1.011
1.014000,0.5859,0.7670,-0.2989,1.010
1.014000,0.5844,0.7670,-0.2997,1.010
1.017000,0.5827,0.7668,-0.2999,1.009
1.018000,0.5825,0.7666,-0.2997,1.008
1.020000,0.5837,0.7670,-0.2994,1.009
1.020000,0.5844,0.7675,-0.2989,1.010
1.023000,0.5842,0.7673,-0.2987,1.010
1.024000,0.5844,0.7670,-0.2980,1.009
1.028000,0.5854,0.7683,-0.2977,1.011
1.028000,0.5864,0.7700,-0.2980,1.013
1.035000,0.5862,0.7705,-0.2972,1.013
1.037000,0.5849,0.7705,-0.2960,1.012
1.038000,0.5847,0.7697,-0.2955,1.011
1.038000,0.5852,0.7695,-0.2960,1.011
1.039000,0.5852,0.7697,-0.2963,1.011
1.039000,0.5849,0.7697,-0.2960,1.011
1.044000,0.5847,0.7692,-0.2960,1.011
1.045000,0.5837,0.7680,-0.2967,1.009
1.048000,0.5830,0.7678,-0.2977,1.009
1.049000,0.5825,0.7683,-0.2985,1.009
1.052000,0.5818,0.7685,-0.2985,1.009
1.054000,0.5813,0.7680,-0.2980,1.008
1.055000,0.5808,0.7680,-0.2980,1.008
1.056000,0.5818,0.7685,-0.2972,1.009
1.059000,0.5825,0.7690,-0.2963,1.009
1.060000,0.5825,0.7690,-0.2967,1.009
1.062000,0.5818,0.7685,-0.2977,1.009
1.063000,0.5805,0.7680,-0.2982,1.008
1.068000,0.5803,0.7678,-0.2982,1.008
1.070000,0.5808,0.7675,-0.2980,1.008
1.071000,0.5808,0.7670,-0.2980,1.007
1.072000,0.5800,0.7666,-0.2985,1.007
1.076000,0.5793,0.7656,-0.2985,1.005
1.076000,0.5798,0.7656,-0.2987,1.006
1.078000,0.5808,0.7656,-0.2987,1.006
1.079000,0.5818,0.7653,-0.2989,1.007
1.086000,0.5830,0.7646,-0.2992,1.007
1.088000,0.5835,0.7644,-0.2992,1.007
1.088000,0.5832,0.7641,-0.2994,1.007
1.088000,0.5830,0.7646,-0.2997,1.007
1.092000,0.5827,0.7651,-0.3009,1.008
1.093000,0.5820,0.7648,-0.3019,1.007
1.095000,0.5813,0.7639,-0.3026,1.006
1.096000,0.5810,0.7634,-0.3033,1.006
1.108000,0.5813,0.7631,-0.3041,1.006
