time,gFx,gFy,gFz,TgF
15:28:20:5060,-0.2640,0.3767,0.6003,0.756
15:28:20:5060,-0.2645,0.3786,0.6013,0.758
15:28:20:5090,-0.2652,0.3803,0.6023,0.760
15:28:20:5100,-0.2659,0.3816,0.6040,0.762
15:28:20:5130,-0.2662,0.3833,0.6050,0.764
15:28:20:5140,-0.2669,0.3857,0.6050,0.766
15:28:20:5150,-0.2696,0.3896,0.6047,0.768
15:28:20:5180,-0.2735,0.3940,0.6050,0.772
15:28:20:5190,-0.2782,0.3989,0.6050,0.776
15:28:20:5240,-0.2838,0.4036,0.6050,0.781
15:28:20:5240,-0.2894,0.4080,0.6060,0.786
15:28:20:5260,-0.2936,0.4121,0.6077,0.791
15:28:20:5270,-0.2977,0.4163,0.6099,0.796
15:28:20:5300,-0.3024,0.4199,0.6116,0.801
15:28:20:5310,-0.3077,0.4229,0.6123,0.805
15:28:20:5330,-0.3117,0.4253,0.6128,0.808
15:28:20:5350,-0.3153,0.4278,0.6148,0.813
15:28:20:5400,-0.3178,0.4297,0.6157,0.815
15:28:20:5410,-0.3192,0.4312,0.6157,0.817
15:28:20:5420,-0.3217,0.4327,0.6160,0.819
15:28:20:5440,-0.3251,0.4334,0.6165,0.821
15:28:20:5460,-0.3280,0.4334,0.6170,0.822
15:28:20:5480,-0.3307,0.4329,0.6167,0.823
15:28:20:5500,-0.3334,0.4336,0.6167,0.824
15:28:20:5520,-0.3359,0.4346,0.6182,0.827
15:28:20:5540,-0.3373,0.4346,0.6201,0.829
15:28:20:5560,-0.3373,0.4339,0.6204,0.829
15:28:20:5580,-0.3366,0.4327,0.6189,0.827
15:28:20:5600,-0.3354,0.4314,0.6174,0.825
15:28:20:5620,-0.3337,0.4305,0.6165,0.823
15:28:20:5629,-0.3307,0.4295,0.6157,0.820
15:28:20:5659,-0.3271,0.4278,0.6157,0.818
15:28:20:5679,-0.3231,0.4258,0.6148,0.815
15:28:20:5699,-0.3180,0.4231,0.6130,0.810
15:28:20:5729,-0.3119,0.4207,0.6108,0.805
15:28:20:5740,-0.3055,0.4185,0.6086,0.799
15:28:20:5760,-0.2992,0.4158,0.6064,0.794
15:28:20:5780,-0.2926,0.4131,0.6040,0.788
15:28:20:5790,-0.2872,0.4116,0.6006,0.783
15:28:20:5820,-0.2816,0.4111,0.5972,0.778
15:28:20:5840,-0.2750,0.4104,0.5945,0.773
15:28:20:5860,-0.2684,0.4104,0.5932,0.770
15:28:20:5890,-0.2615,0.4104,0.5928,0.767
15:28:20:5900,-0.2557,0.4109,0.5913,0.764
15:28:20:5920,-0.2513,0.4121,0.5901,0.762
15:28:20:5940,-0.2469,0.4138,0.5893,0.761
15:28:20:5960,-0.2420,0.4151,0.5896,0.761
15:28:20:5980,-0.2369,0.4151,0.5903,0.760
15:28:20:6000,-0.2320,0.4155,0.5908,0.759
15:28:20:6020,-0.2278,0.4165,0.5915,0.758
15:28:20:6030,-0.2237,0.4175,0.5920,0.758
15:28:20:6080,-0.2195,0.4180,0.5925,0.758
15:28:20:6090,-0.2156,0.4192,0.5932,0.758
15:28:20:6110,-0.2119,0.4199,0.5942,0.758
15:28:20:6120,-0.2097,0.4212,0.5937,0.758
15:28:20:6430,-0.2087,0.4234,0.5930,0.758
15:28:20:6430,-0.2090,0.4251,0.5920,0.758
15:28:20:6430,-0.2092,0.4270,0.5903,0.758
15:28:20:6440,-0.2087,0.4302,0.5886,0.758
15:28:20:6440,-0.2078,0.4346,0.5874,0.760
15:28:20:6440,-0.2051,0.4390,0.5857,0.760
15:28:20:6440,-0.2021,0.4424,0.5844,0.760
15:28:20:6450,-0.2009,0.4461,0.5835,0.761
15:28:20:6450,-0.2012,0.4507,0.5822,0.763
15:28:20:6450,-0.2029,0.4551,0.5808,0.765
15:28:20:6450,-0.2048,0.4581,0.5803,0.767
15:28:20:6450,-0.2065,0.4605,0.5813,0.770
15:28:20:6460,-0.2090,0.4632,0.5827,0.773
